phase,area,perimeter,la,sa,lao
qtz,395.5926354086,79.7841223035,25.8098537122,20.2167338395,40.1368611159
pl,1773.6926479532,197.8585256006,72.4533625563,34.4402698161,107.8528621622
pl,1475.2621753949,172.9658444251,50.750398586,40.1048741722,42.031435364
pl,2759.6858083806,233.8325798044,79.9426092906,47.5321907303,163.9221619579
qtz,13727.315980837,475.8270966584,159.5112412191,114.9920977931,12.6975455226
pl,767.2725009738,110.8863568186,35.9944550961,28.9249077897,81.3544019973
ksp,6713.3224841301,346.3046689908,126.7789541182,72.676400501,158.7510401903
pl,2226.9616491679,196.1719737887,61.4963603148,50.5684131767,129.1910063322
qtz,1021.7824037359,129.0005803892,47.6876753065,28.5153101059,155.3678484684
ksp,2098.4591002243,189.2464357934,75.779183006,36.8807225406,156.3626300917
qtz,284.4522442635,74.7437897293,29.5391515186,12.6679836704,38.0769309105
qtz,6984.0511552054,343.9570567429,111.5735867706,85.4250170442,102.6342419551
qtz,587.6184519653,107.9690245456,46.2995315801,16.950330893,78.7153165528
qtz,343.0893297037,71.1064645227,21.433877227,20.8580552987,34.7644859961
pl,1725.4274290191,211.7811755451,81.370084285,30.9099354918,66.7760866161
ksp,640.0175495928,97.6095503581,35.174122626,23.4805955114,23.6255771887
pl,5268.6045066868,319.5628804589,94.3546146089,77.4751355015,156.4899212445
pl,1319.9582211875,144.7831561921,52.8186070047,33.1872164587,123.2511391858
ksp,1257.5783430595,144.3059336427,57.0825860578,28.5439523543,152.1138418159
ksp,9003.9116089885,881.6311137246,196.3171635019,105.3760078551,34.453594648
ksp,948.1741475449,148.8079353408,43.1658283414,34.2043655747,53.2266943707
ksp,434.1639517705,104.671566891,43.5212850724,15.8581323263,148.7463556671
ksp,492.8010372108,92.5566636473,30.9450899062,21.7548744513,86.5900115365
ksp,281.9570491383,70.5231967399,26.02581451,14.5932932464,143.0527795527
ksp,321.8801711402,73.3013391361,23.8924192512,18.4985430169,126.145825911
qtz,354.3177077668,74.603107345,24.9764370499,18.6911187176,42.9159582923
pl,650.7432193974,103.8782136708,31.2478362895,27.5607574024,44.6449323485
qtz,331.6071402375,79.5404772658,33.767524265,12.7207989798,125.5762584891
pl,2353.7644312131,241.525574868,64.2566605942,50.3249629054,19.5156013483
ksp,610.0908025526,103.9956523992,30.4550267122,27.1776875879,83.5403530087
ksp,4385.5347444539,295.8055300058,82.0316583289,73.3195720422,60.4881896594
pl,278.7118373592,81.3734157515,31.9972595331,12.2752936737,56.6318817642
pl,1084.2334434666,167.2831700972,58.936447269,31.7868724552,125.6834126536
pl,1392.687355762,158.2307749983,49.5249849744,39.4841508102,177.1467162421
pl,251.051118886,63.9432969337,20.4507581939,16.3997965102,94.5224437082
ksp,1042.8194954552,149.454392538,53.7619661484,28.7259927047,59.4526824394
qtz,21223.4374691332,627.6163318643,189.9938549587,147.2026724314,40.0346041979
pl,5354.796885731,307.6638330864,94.4741301058,74.875646615,92.8347086837
ksp,5873.8175832283,352.4799334557,99.8279128547,82.4660770156,52.5281173779
pl,1963.6107565608,200.238014476,72.1659408338,40.1662126263,67.9331981868
pl,1154.3943768791,160.026322079,49.6605962576,34.3030028915,76.1196299635
qtz,1446.3432856809,152.3816757256,57.223340362,33.0673092406,84.1199317502
ksp,12636.3617717041,460.3463833743,144.1496483265,114.0834210087,36.9774896023
ksp,3659.0335612852,262.4048902481,95.125634093,52.9251794962,125.4083286466
pl,2544.4649851823,245.5095434683,88.2251189542,42.3158533972,0.3758460712
pl,1304.6331457497,161.8142082282,50.0073234648,38.1745454241,163.8465042621
ksp,3525.1732387556,279.4102706574,108.8243685375,45.6440405262,88.8591248237
pl,1325.5167138992,193.9029740818,76.4284718922,27.4945053731,86.8960261207
qtz,1120.0200016375,136.6108810532,43.3673646896,34.483292906,84.0920991451
ksp,377.4713115299,84.1127210547,28.3860121803,18.1887392854,144.0371495402
pl,327.11691337,76.2681002397,29.364923943,14.6415014156,100.6277510865
pl,235.7959393237,62.77892148,22.6941257539,13.6617671859,97.8312466412
