time,latitude,longitude,depth,mag,place
1975-07-16T18:17:44.000Z,-30.623,-177.487,46,6.2,"Kermadec Islands, New Zealand"
1975-07-16T19:38:23.400Z,-30.867,-177.434,37,6.1,"Kermadec Islands, New Zealand"
1975-07-20T14:37:39.900Z,-6.59,155.054,49,7.9,"Bougainville region, Papua New Guinea"
1975-07-20T19:54:27.700Z,-7.104,155.152,44,7.7,Solomon Islands
1975-07-20T23:05:18.800Z,-6.58,154.651,50,6.7,"Bougainville region, Papua New Guinea"
1975-07-21T02:03:59.800Z,-6.736,155.312,47,6.8,"Bougainville region, Papua New Guinea"
1975-07-21T02:39:01.200Z,-6.908,155.333,95,6.1,"Bougainville region, Papua New Guinea"
1975-07-22T19:20:13.800Z,-7.206,155.716,36,6.1,Solomon Islands
1975-07-30T09:17:12.900Z,-10.002,123.8,16,6.1,"Timor region, Indonesia"
1975-08-02T10:18:17.900Z,53.387,-161.485,33,6.2,south of Alaska
1975-08-06T22:24:31.200Z,-2.473,146.044,33,6.3,"Admiralty Islands region, Papua New Guinea"
1975-08-10T10:25:43.300Z,-22.648,-66.589,166,6.2,"Jujuy, Argentina"
1975-08-15T07:28:18.900Z,54.877,167.845,4,6.6,"Komandorskiye Ostrova, Russia region"
1975-08-23T15:06:39.000Z,10.013,125.791,40,6,"Leyte, Philippines"
1975-09-06T09:20:10.900Z,38.474,40.723,26,6.7,eastern Turkey
1975-09-11T21:59:57.200Z,6.989,-104.275,33,6.4,Galapagos Triple Junction region
1975-09-19T03:37:11.700Z,-34.759,81.849,33,6.1,Broken Ridge
1975-09-24T01:47:49.700Z,-20.535,-173.994,33,6.5,Tonga
1975-09-24T11:03:00.500Z,-11.96,-14.486,33,6.1,Ascension Island region
1975-09-29T14:36:21.900Z,-0.477,124.698,23,6.1,Molucca Sea
1975-09-30T18:17:49.500Z,-4.931,102.197,33,6,"southern Sumatra, Indonesia"
1975-10-01T03:29:58.900Z,-4.882,102.198,33,7,"southern Sumatra, Indonesia"
1975-10-01T04:13:28.400Z,-4.83,102.095,33,6,"southern Sumatra, Indonesia"
1975-10-03T05:14:23.300Z,30.251,66.315,11,6.7,western Afghanistan
1975-10-03T11:51:09.400Z,-22.126,126.721,33,6,Western Australia
1975-10-03T17:31:35.800Z,30.413,66.35,33,6.4,Afghanistan-Pakistan border region
1975-10-06T22:24:16.200Z,-12.519,166.499,54,7,Santa Cruz Islands
1975-10-07T08:28:09.500Z,0.898,-26.772,33,6.7,central Mid-Atlantic Ridge
1975-10-10T19:47:18.700Z,-15.444,167.548,123,6,Vanuatu
1975-10-11T14:35:15.000Z,-24.894,-175.119,9,7.8,south of Tonga
1975-10-11T14:55:00.300Z,-24.041,-175.375,33,6.1,south of Tonga
1975-10-17T03:31:52.200Z,-7.473,128.726,109,6.3,"Kepulauan Barat Daya, Indonesia"
1975-10-20T22:25:29.000Z,-16.256,-177.43,33,6.5,Fiji region
1975-10-21T17:12:23.700Z,11.707,121.75,33,6.1,"Panay, Philippines"
1975-10-21T23:06:22.800Z,11.661,121.646,33,6.3,"Panay, Philippines"
1975-10-26T10:41:31.900Z,6.578,126.834,50,6.1,"Mindanao, Philippines"
1975-10-28T06:54:22.400Z,-22.862,-70.508,38,6.3,"near the coast of Antofagasta, Chile"
1975-10-31T08:28:02.600Z,12.54,125.993,50,7.2,"Samar, Philippines"
1975-11-01T01:17:33.900Z,13.843,144.754,113,6.1,Guam region
1975-11-06T12:36:14.500Z,12.549,126.073,11,6.1,Philippine Islands region
1975-11-15T20:39:25.900Z,12.946,125.91,11,6.1,"Samar, Philippines"
1975-11-25T08:06:45.400Z,-9.151,156.7,33,6.1,Solomon Islands
1975-11-29T10:46:55.600Z,-57.76,-25.339,51,6.2,South Sandwich Islands region
1975-11-29T14:47:40.400Z,19.334,-155.024,5,7.1,"Hawaii region, Hawaii"
1975-11-30T20:30:17.000Z,52.599,-167.184,24,6.3,"Fox Islands, Aleutian Islands, Alaska"
1975-12-09T09:14:40.600Z,-14.789,-173.003,33,6.2,Samoa Islands region
1975-12-11T20:17:08.100Z,-11.556,-74.552,98,6,central Peru
1975-12-17T05:35:17.800Z,5.283,95.906,17,6.2,"northern Sumatra, Indonesia"
1975-12-19T02:14:29.600Z,-11.754,164.804,33,6,Santa Cruz Islands region
1975-12-21T10:54:17.700Z,51.94,151.577,554,6,Sea of Okhotsk
1975-12-25T23:22:21.700Z,-4.084,142.04,115,6.6,"New Guinea, Papua New Guinea"
1975-12-26T15:56:38.700Z,-16.264,-172.467,33,7.8,Samoa Islands region
1975-12-29T03:39:43.000Z,-56.772,-68.478,14,6.5,Drake Passage
1976-01-01T01:29:39.600Z,-28.611,-177.638,59,6.2,Kermadec Islands region
1976-01-05T02:31:36.300Z,-13.288,-74.899,95,6,central Peru
1976-01-06T21:08:19.300Z,51.601,159.329,33,6,"off the east coast of the Kamchatka Peninsula, Russia"
1976-01-09T23:54:35.600Z,-15.759,167.868,168,6.1,Vanuatu
1976-01-13T13:29:19.500Z,66.157,-16.582,33,6.4,Iceland region
1976-01-14T15:56:34.900Z,-29.208,-177.886,69,6.3,"Kermadec Islands, New Zealand"
1976-01-14T16:47:33.500Z,-28.427,-177.657,33,8,Kermadec Islands region
1976-01-14T17:48:39.000Z,-29.543,-176.905,25,6.2,Kermadec Islands region
1976-01-14T22:43:43.100Z,-28.663,-176.854,31,6.3,Kermadec Islands region
1976-01-15T06:06:46.100Z,-30.376,-176.823,33,6.2,Kermadec Islands region
1976-01-15T16:12:22.300Z,-30.151,-177.243,33,6.1,"Kermadec Islands, New Zealand"
1976-01-21T10:05:24.100Z,44.915,149.123,41,7,Kuril Islands
1976-01-23T05:45:30.500Z,-7.478,119.905,614,6.4,Flores Sea
1976-01-24T21:48:25.900Z,-28.635,-177.593,78,6.2,Kermadec Islands region
1976-01-26T19:01:38.600Z,-29.339,-176.461,30,6,Kermadec Islands region
1976-02-03T23:57:54.900Z,54.504,161.892,33,6,"near the east coast of the Kamchatka Peninsula, Russia"
1976-02-04T09:01:43.400Z,15.324,-89.101,5,7.5,Guatemala
1976-02-06T16:53:50.500Z,-5.98,146.307,37,6,"eastern New Guinea region, Papua New Guinea"
1976-02-14T03:10:37.300Z,-57.414,-64.415,40,6,Drake Passage
1976-02-15T01:54:23.100Z,13,125.788,33,6.1,Philippine Islands region
1976-02-15T21:23:22.600Z,-28.385,-176.791,54,6.2,Kermadec Islands region
1976-02-22T05:11:07.900Z,-3.356,145.235,22,6,"near the north coast of New Guinea, Papua New Guinea"
1976-02-23T15:14:16.000Z,51.471,-130.442,16,6,"Haida Gwaii Region, Canada"
1976-02-28T16:27:09.000Z,-39.999,-74.727,9,6,"offshore Los Lagos, Chile"
1976-03-03T22:50:10.000Z,-8.232,121.438,30,6,"Flores region, Indonesia"
1976-03-04T02:50:00.500Z,-14.744,167.104,90,6.4,Vanuatu
1976-03-08T04:39:55.900Z,-10.729,165.019,47,6.1,Santa Cruz Islands
